Proposal number,Study Sponsor(s),Title,Institution,Lead researcher,URL Path
611,GSK,Long-acting beta2-agonists for chronic obstructive pulmonary disease,"Cochrane Airways Group, at St George's University of London",Kayleigh Kew,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14381&GroupID=SUMMARIES
628,GSK,Predictive and Prognostic Value of Blood Cell Ratios in Patients with Metastatic Renal Cell Carcinoma Treated with Pazopanib,"Divisions of Medical Oncology and Hematology,  Princess Margaret Cancer Centre, Department of Medicine, University of Toronto, Toronto, Canada","Arnoud J. Templeton, MD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14382&GroupID=SUMMARIES
631,GSK,Predictors of BPH Progression,Duke University,"Dr. Stephen Freedland, MD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14383&GroupID=SUMMARIES
637,GSK,Relationship of Activated Clotting Time and Bleeding Related Outcomes in the FUTURA OASIS-8 Trial,"New York University school of Medicine, NY, NY",Sripal Bangalore,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14384&GroupID=SUMMARIES
639,GSK,Low-Dose vs Standard-Dose Unfractionated Heparin for Percutaneous Coronary Intervention in Acute Coronary Syndromes Treated With Fondaparinux in Patients with Peripheral Arterial Disease,St Luke's-Roosevelt Hospital of the Columbia University of Physicians and Surgeons,Saurav Chatterjee MD,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14385&GroupID=SUMMARIES
645,GSK,"The Influence of Age, Gender, and Race on the Effects of Combination Therapy with Carvedilol plus  Lisinopril  Versus Lisinopril Monotherapy for Systemic Hypertension","New York Medical College-Metropolitan Hospital Center, Department of Medicine, New York, NY",Partha Sardar,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14322&GroupID=SUMMARIES
646,GSK,Factors influencing immune response and patient outcomes following influenza vaccination.,"Health Protection Research Group, University of Nottingham",Dr Subhadra Rajanaidu,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14323&GroupID=SUMMARIES
647,GSK,Assessing and Reporting Heterogeneity of Treatment Effect in Randomized Clinical Trials,"Institute for Clinical Research and Health Policy Studies, Tufts Medical Center","David M. Kent, MD, MSc",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14375&GroupID=SUMMARIES
651,GSK,Descriptive evaluation of SAE reporting rates in vaccine clinical trials among Latin American children.,P95 Pharmacovigilance and Epidemiology Services,Thomas Verstraeten,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14376&GroupID=SUMMARIES
653,GSK,Functional Estimation of Interventional Effects,"Department of Economics, Indiana University, Bloomington, Professor
Sungkyunkwan University, Professor of Economics",Joon Park,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14324&GroupID=SUMMARIES
654,"GSK, ViiV",Development of Population Pharmacokinetic/Pharmacodynamic Models for Pazopanib within the EuroTARGET project (Workpackage 7),"Institute of Pharmacy, Clinical Pharmacy, University of Bonn, Germany",Ulrich Jaehde,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14325&GroupID=SUMMARIES
657,GSK,Use of Heparins in patients with Cancer: Individual patient-data meta-analysis of randomized trials,McMaster University,"Holger Schunemann, MD, MSc, PhD",http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14326&GroupID=SUMMARIES
668,GSK,Associations between antihypertensive drugs and patterns of blood pressure changes: a strategy to reduce the burden of anti-VEGF induced hypertension,"Flinders University, School of Medicine, Adelaide, Australia; Southern Adelaide Health Network, Adelaide, Australia",Arduino A Mangoni,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14327&GroupID=SUMMARIES
669,GSK,"A multi-center, double-blind, placebo controlled study of paroxetine and imipramine in adolescents with unipolar major depression - efficacy and adverse outcomes.",University of Adelaide,Jon Jureidini,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14377&GroupID=SUMMARIES
672,GSK,The Development of Toxicity Prediction Tools to Assist Oncologists in the Management of Adverse Events in Patients Receiving Treatment with Lapatinib,Memorial Sloan-Kettering Cancer Center,Dr. Mario Lacouture,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14328&GroupID=SUMMARIES
674,GSK,Antiepileptic drug monotherapy for epilepsy: an overview of systematic reviews andnetwork meta-analysis,University of Liverpool,Antony Marson,http://www.clinicalstudydatarequest.com/Posting.aspx?ID=14297&GroupID=SUMMARIES
