nct_id,total_cells,empty_cells,completeness_percentage
NCT00071760,26800,7144,73.34328358208955
NCT00116844,4896,1209,75.30637254901961
NCT00158860,2941,721,75.4845290717443
NCT00435461,6673,1879,71.84175033717968
NCT00488514,12212,4183,65.74680641991483
NCT00586339,77709,31232,59.80903112895546
NCT00632736,4105,1225,70.15834348355664
NCT00652366,18272,3769,79.37281085814361
NCT00684671,2868,839,70.74616457461646
NCT00689104,23171,7541,67.45500841569203
NCT00700102,10514,2049,80.51169868746433
NCT00725712,8816,2464,72.0508166969147
NCT00877877,9815,2315,76.41365257259297
NCT00892775,5583,1656,70.33852767329392
NCT00937326,62597,18960,69.71100851478505
NCT00984659,9685,2637,72.77232834279815
NCT01098539,10701,2549,76.17979628072143
NCT01214720,9361,1979,78.8590962504006
NCT01277042,3569,1196,66.48921266461194
NCT01299610,4354,1259,71.08406063389987
NCT01310413,23623,8385,64.50493163442408
NCT01323660,7344,1628,77.8322440087146
NCT01323959,5677,1705,69.96653161881275
NCT01357889,7259,2242,69.1142030582725
NCT01376245,4705,1150,75.55791710945802
NCT01379937,18647,6777,63.656352228240465
NCT02564055,103250,34055,67.01694915254237
NCT00044460,280,75,73.21428571428571
NCT00069836,1101,205,81.38056312443233
NCT00309634,261,80,69.34865900383141
NCT00332566,407,97,76.16707616707616
NCT00334334,941,183,80.55260361317747
NCT00358813,370,78,78.91891891891892
NCT00371735,331,91,72.50755287009063
NCT00377585,524,125,76.14503816793894
NCT00383591,277,97,64.98194945848375
NCT00404378,317,68,78.54889589905363
NCT00425737,260,75,71.15384615384616
NCT00519467,273,75,72.52747252747253
NCT00551317,247,72,70.8502024291498
NCT00731250,334,71,78.74251497005989
NCT00749359,258,67,74.03100775193798
NCT00812773,320,71,77.8125
NCT00920803,331,66,80.06042296072508
NCT01058174,711,181,74.54289732770745
NCT01154114,267,67,74.90636704119851
NCT01362257,292,74,74.65753424657534
NCT01411111,350,68,80.57142857142857
NCT01577680,344,74,78.48837209302326
