tree_head,effect_logit,effect_OR
C20.543,-1.6281985288514802,0.19628285371779444
C02.782,-1.5804330981671528,0.20588591008237211
D03.605,-1.5370801132088718,0.21500798474207086
C13.351,-1.5351389145253647,0.2154257633234205
D13.570,-1.416185440515751,0.24263781020476305
D20.215,-1.394465149085079,0.24796562554803897
D12.644,-1.344174598545404,0.26075484648947783
C23.550,-1.1976877489190725,0.301891454343397
C02.800,-1.1632646642857252,0.31246442250035344
C02.256,-1.0600983373812702,0.34642174244804436
C01.252,-1.0577520933744784,0.34723548663299825
C06.552,-1.0424543411186578,0.35258824729730975
C12.777,-1.0104092048343714,0.3640699698941323
C13.703,-0.9981996117592317,0.368542363571128
C14.907,-0.8838171953785576,0.4132026223234863
C14,-0.8386764744815174,0.4322822816082425
C11.768,-0.8350104814435549,0.43386993382593664
C20.673,-0.7500903180920429,0.47232389142179976
C02,-0.6784456469403779,0.5074050663516689
D02.705,-0.6767866586992995,0.5082475440272634
C08.674,-0.668104081582391,0.5126796557550404
D10.251,-0.6663718642899147,0.5135684979318813
D08.811,-0.665009838764205,0.514268467915547
D02.540,-0.6519015256844991,0.5210540365166221
D02.145,-0.6386745926573036,0.5279917646468312
C08.127,-0.6348679375500621,0.5300054775178357
C03.752,-0.5920096334000796,0.5532144087194749
D06.472,-0.5847993529350445,0.5572176546832968
C13,-0.5600072887818947,0.5712049004457054
C01.539,-0.4960434127226418,0.6089352049639094
C06,-0.47617669918781363,0.6211537151928905
C02.440,-0.44087287940530356,0.6434745002351584
C23.888,-0.43474603037109105,0.6474290735215763
C08.460,-0.42973158078518026,0.6506837273000763
C09.603,-0.42973158078518026,0.6506837273000763
C01,-0.42819241316271617,0.6516860097680922
C07.465,-0.4266969669610846,0.652661300201485
C10.114,-0.42238662711793945,0.655480563835076
C08.618,-0.42078912948172975,0.6565285293247131
C10.314,-0.3972529194808639,0.6721640007621345
F03.080,-0.3777022354100747,0.685434568425474
C18,-0.3776523518802796,0.685468761174011
C15.378,-0.3747787781736167,0.6874413389993783
C18.452,-0.35287371021231045,0.7026659273048051
C23,-0.3462814202357898,0.7073134067894847
D02.626,-0.343138411467337,0.7095399962912847
E01.370,-0.323915398722051,0.7233114328629847
C02.928,-0.31906273790609324,0.7268299480868619
C07.793,-0.3139912260701802,0.7305254377102284
D02.033,-0.30610193686154,0.7363115583410449
D03.132,-0.2979233679207545,0.7423582260224949
D12.125,-0.2973989061278257,0.7427476666631517
C08,-0.2860755180881976,0.75120588417256
C11,-0.282474551942184,0.753915827408768
C16.614,-0.28004862409386166,0.755746993049578
C16.131,-0.27991829253304573,0.7558454971537215
C10.886,-0.2613076863957232,0.7700439511130901
F03.870,-0.2545971904079382,0.7752287046352067
C26,-0.2509789188682998,0.7780387733239211
N02.421,-0.24712760382450036,0.7810410233506924
D10,-0.2430554844625717,0.7842280000952822
C07,-0.2253984123865896,0.7981981433737247
C01.395,-0.20852712397540424,0.8117790157298678
C11.525,-0.20542022765502413,0.8143050509996997
C12,-0.1921922618870014,0.8251482086883963
C19.246,-0.1909427279046193,0.8261799038505012
E07,-0.18285549464666123,0.8328885038889517
D09.698,-0.17920291749273395,0.8359362560966485
C09,-0.17381268694245056,0.8404543109819064
C01.703,-0.16806258648242267,0.845300928617363
E07.877,-0.16647199547575972,0.8466465265366254
E02.095,-0.16416920149786962,0.8485984256074945
F03.675,-0.1574617177241413,0.854309517895111
D23.050,-0.15699893908572948,0.8547049655858991
E05.200,-0.15454789677835548,0.8568024530820955
D12,-0.15336908506904598,0.8578130573854191
C14.280,-0.14975273502559616,0.8609208256748154
C19.874,-0.14755724786811203,0.8628130427002181
C03.335,-0.14696161144013867,0.8633271186649677
D13,-0.14527565965461584,0.8647838742269307
F03.900,-0.14413529364571107,0.8657706068734012
D02.675,-0.14406509052677327,0.8658313888038041
C06.130,-0.14352218825180874,0.8663015782564343
C26.891,-0.13798656141421922,0.8711103981589495
C03,-0.13732518570377897,0.8716867199790226
F02.830,-0.13730485817131807,0.8717044393992142
C25,-0.13346071410086427,0.8750618458937636
D10.570,-0.13224924017971373,0.8761226029094515
C19,-0.13130709442868702,0.8769484270594321
C25.775,-0.12838138552658143,0.8795178797816916
D26.310,-0.12793317662130113,0.8799121758846744
C02.825,-0.12670070657994073,0.880997309840668
G07.203,-0.12261335343901095,0.8846056261702242
G11.561,-0.12154134925522357,0.8855544355754428
E04,-0.11975557706336676,0.8871372469104726
G08.686,-0.1163774227226536,0.8901392011294297
E04.100,-0.11609125421019247,0.8903939673918028
D10.212,-0.11456382745065422,0.89175501815219
D23,-0.11441206557831383,0.8918903628332351
D01.248,-0.11246321222180759,0.8936302211741927
D13.695,-0.11146174004811404,0.8945256152555626
I01.880,-0.11103947134652749,0.8949034251886935
D26,-0.11002726310039908,0.8958097124134801
D23.946,-0.10667554300820986,0.8988172532272755
D08,-0.10636253997806866,0.8990986297846392
D23.469,-0.10623851339047032,0.8992101488351264
C09.218,-0.10424678544016963,0.9010029155809175
D04.615,-0.1035720746533145,0.9016110370970514
D27.720,-0.10341319059955426,0.9017543000943418
E04.210,-0.10324106595262487,0.9019095275937187
E05,-0.10281910206894258,0.9022901811460897
D02.092,-0.09896087184122081,0.9057781487614021
D08.211,-0.09845552453196264,0.9062359969881045
N05.300,-0.09739402111895624,0.9071984803412024
J02.500,-0.09249816631883348,0.9116508826399831
D26.776,-0.09143854124808923,0.9126174027550327
D01.552,-0.09141094695145043,0.9126425861378192
F04.754,-0.0880734523335274,0.915693614420294
E01,-0.08680195407454222,0.9168586577751306
D23.119,-0.08642559707916099,0.9172037888869405
F01.100,-0.08623373106432543,0.9173797860060994
D20,-0.08566485342584323,0.9179018113225402
D10.627,-0.0852219714686141,0.9183084235072367
D06,-0.0842137750575884,0.9192347256328083
F03.835,-0.08363350121386288,0.919768288291593
C04.834,-0.08356427606057713,0.9198319615962091
E04.579,-0.08340756568723907,0.9199761201015906
C10.551,-0.08241392972076517,0.9208906957652098
E02.258,-0.08182116753090594,0.9214367267679309
C11.270,-0.08178421443889092,0.9214707773332141
C26.404,-0.07856836775759034,0.9244388559594096
E04.928,-0.07478577529690965,0.9279422531910815
N01,-0.07177143308270001,0.9307436086981521
E02.041,-0.0717136273937987,0.9307974125287121
C11.187,-0.07146412216512625,0.9310296803247826
C20.452,-0.07145304774336744,0.9310399909972248
C10.803,-0.0705629211083724,0.9318691034442493
C14.240,-0.06975605777310133,0.9326212978753358
E04.502,-0.06587794401487188,0.9362451316398338
C25.723,-0.06566636288656516,0.9364432443988793
D01.625,-0.06549409690245288,0.936604575611482
J01.637,-0.06508580110221385,0.9369870654053636
D01.210,-0.06364130798769671,0.9383415147806198
D01.268,-0.06171036206756739,0.940155151954404
E05.393,-0.061160157367947894,0.9406725720678168
D01.200,-0.059831955981680576,0.9419228047786742
G09.772,-0.05935173982306301,0.9423752399543458
J01,-0.059191492348775576,0.942526265306772
G11.427,-0.058997608973841806,0.9427090231963391
N01.400,-0.057682453496068334,0.943949647760419
D09.811,-0.05760928672945281,0.9440187160307136
C08.730,-0.05685082543000178,0.9447349892912172
E02.760,-0.056497377271249136,0.9450689631514375
D02.355,-0.055010564630931076,0.9464751487400331
C11.496,-0.05151306930758122,0.9497912367672725
E02.186,-0.05126827445785974,0.9500237692305572
E02.190,-0.05013672747280662,0.95109937419637
C20,-0.04951531597504108,0.9516905819556382
D05.750,-0.049412808687944385,0.9517881421755813
C26.558,-0.0493869933947562,0.951812713182677
N06.850,-0.04876522902756084,0.9524047004311946
E02.815,-0.046633637394073536,0.954437003573003
D01.045,-0.046503503624582415,0.9545612161399692
C06.198,-0.045913496042922455,0.9551245806729806
E02.585,-0.045824572595744115,0.955209517419557
E05.497,-0.045824572595744115,0.955209517419557
G05.365,-0.04556949902628,0.9554531971975654
C11.640,-0.045334751734358615,0.9556775135759662
D25.720,-0.04431866252850938,0.9566490606874617
C04.730,-0.0442967601869416,0.9566700137714093
D01.857,-0.04408217719271506,0.956875320914374
D04,-0.043918838320213704,0.9570316286156308
E04.665,-0.04342917649810999,0.9575003652185535
C12.706,-0.04228283384689938,0.958598618092541
D20.888,-0.04070229652254681,0.9601149169553275
C25.100,-0.03993194037719442,0.9608548323444402
N01.224,-0.03962564030556275,0.9611491873265897
I01.240,-0.03962564030556275,0.9611491873265897
N01.824,-0.03962564030556275,0.9611491873265897
F04,-0.03923706665621228,0.9615227371449874
C08.785,-0.03772182365158546,0.9629807821134875
C09.775,-0.036573448509529746,0.9640872805219765
C26.117,-0.03577977847018456,0.9648527514373247
D01.362,-0.03565448204675703,0.9649736516102355
N05.700,-0.03552281756642793,0.9651007127291406
C04.697,-0.03491887436505424,0.965683754787656
C26.531,-0.03385479793730535,0.9667118630036374
D10.477,-0.03366223212991853,0.9668980365788042
E06.342,-0.03347698108030827,0.967077172046951
C11.294,-0.03330653978670341,0.9672420159788778
F04.570,-0.03285929434514251,0.9676747073138117
E05.196,-0.03255006260454517,0.9679739893192492
A12.207,-0.03237576884163959,0.9681427158518063
E05.478,-0.03201836291466392,0.968488797638767
D27.505,-0.03193521517791696,0.9685693286382943
C10.281,-0.031146364179514215,0.9693336869629892
A11.284,-0.030379666691553064,0.97007715763791
G05.360,-0.030379666691553064,0.97007715763791
C03.858,-0.03024132795813645,0.9702113661661189
D04.345,-0.029956616451274266,0.9704876358328652
F01.829,-0.029719231067392056,0.9707180427593867
L01.399,-0.029066115073965757,0.9713522413182876
E05.318,-0.028452833346871712,0.9719481366056283
D09.067,-0.028443534896690877,0.971957174258973
E02.831,-0.02819194290113833,0.9722017416683476
J01.937,-0.027860199209441935,0.9725243169664041
C19.642,-0.02711661771803684,0.9732477369759741
E07.695,-0.02684429052566871,0.9735128148919875
E02.880,-0.025889054798054603,0.9744431934087165
C26.088,-0.02566054510122872,0.9746658885704493
E02.148,-0.02558032153857863,0.974744082876895
E05.157,-0.02558032153857863,0.974744082876895
G07,-0.02550460929220565,0.9748178857349031
C06.267,-0.025266135871720552,0.975050381611406
G07.345,-0.024926024362178716,0.9753820638698547
D01.490,-0.024501779701460624,0.9757959522913804
C04.700,-0.02397942740617085,0.9763057946938762
C04.651,-0.02397942740617085,0.9763057946938762
C02.705,-0.02396917350921777,0.9763158056842155
E05.041,-0.023582820063503852,0.9766930815360663
C02.081,-0.02323804347291775,0.9770298805036309
D20.280,-0.023228764347023416,0.977038946528957
C08.360,-0.023002851706038253,0.9772596969119248
D01.510,-0.022810838679860158,0.9774473615201388
N04.452,-0.022362417662602843,0.9778857677482443
E02.800,-0.021714588249054995,0.9785194761569918
G07.690,-0.021703321048754606,0.9785305013940391
J01.897,-0.021338278555789507,0.9788877718131852
G08.852,-0.020467849196584304,0.9797401954025781
D02.241,-0.020355030775848697,0.9798507343794537
A12.200,-0.020351148261273405,0.9798545386715967
E02.870,-0.019544209015837997,0.9806455408560999
E04.950,-0.01916573765847078,0.9810167573480175
G10.261,-0.018963909123184835,0.9812147745053282
G08,-0.01840500009699224,0.9817633375835808
J02,-0.017875718696586003,0.9822831041970311
G11,-0.017536082601149264,0.9826167796560615
N03.219,-0.017343289502730265,0.982806239652273
C04.182,-0.017222840790582165,0.98292462452764
N03.349,-0.016740435500933366,0.9833989069548162
G04.146,-0.016733023394457244,0.9834061960392368
E02.779,-0.016220288809190672,0.9839105516965565
D01.496,-0.01619143928855175,0.9839389374537804
C24.900,-0.015573182089757108,0.9845474528751721
C24,-0.015573182089757108,0.9845474528751721
F04.711,-0.01554251064361839,0.9845776508324491
D05,-0.015477715015672674,0.9846414492265023
D01,-0.015292218821996663,0.9848241134087009
G05.558,-0.015189833345776532,0.9849249502565716
C06.689,-0.015156518208954969,0.9849577637126377
C20.841,-0.014994923289091366,0.9851169407442874
C19.053,-0.014655423996582529,0.9854514440273096
D09.853,-0.01434435214142288,0.9857580379200661
N03,-0.014251789778680623,0.9858492862361629
G01.750,-0.013627846987009834,0.9864645917297357
H02.403,-0.012992375037702068,0.9870916615282966
