tree_head,effect_logit,effect_OR
C04.557,0.5071909766302627,1.6606199169979299
C10,0.5584072846265131,1.7478863966149902
E02,0.567607949660348,1.764042322529321
D09,0.5864883203556899,1.7976644962887605
F03.084,0.5894140939015086,1.8029317571651466
D03,0.6623008040811139,1.9392490375354734
C05,0.7050522830557944,2.0239525005776535
C05.799,0.735057559118002,2.085602034463847
D09.408,0.7856985978701566,2.1939390866671595
C10.574,0.8596320291145513,2.362291279342271
C05.651,0.9151897445531783,2.497249046357984
C05.116,0.9287280980210546,2.531287579591947
F03.615,0.9412643910125201,2.5632202829910167
C04.588,0.9775492582947547,2.6579343429047717
C16.320,1.1350799011788808,3.111422139270347
C17.300,1.2034564785860788,3.3316126917777975
C12.758,1.2367841915216664,3.444518722529202
D04.210,1.3501948892797417,3.8581773748411115
F03,1.4817682034786912,4.400720174170858
F03.625,1.498996242071695,4.47719279636435
C10.597,1.592620588921142,4.916616491372854
F03.600,1.7051038633810982,5.501957089402024
F03.700,1.7407816092962818,5.701798259999602
C15.604,1.8599616214757253,6.423490242622254
C06.405,2.0256182175909623,7.58079607776054
D12.776,2.1141141453547094,8.282245649678902
C05.550,2.1537805689705043,8.617375474246996
D03.383,2.3778214471710863,10.781389434155123
D09.947,2.6842097236451,14.646621926393465
C20.683,2.73876290685479,15.467838098988748
