tree_head,effect_logit,effect_OR
C20.543,-1.6281985288514802,0.19628285371779444
C02.782,-1.5804330981671528,0.20588591008237211
D03.605,-1.5370801132088718,0.21500798474207086
C13.351,-1.5351389145253647,0.2154257633234205
D13.570,-1.416185440515751,0.24263781020476305
D20.215,-1.394465149085079,0.24796562554803897
D12.644,-1.344174598545404,0.26075484648947783
C23.550,-1.1976877489190725,0.301891454343397
C02.800,-1.1632646642857252,0.31246442250035344
C02.256,-1.0600983373812702,0.34642174244804436
C01.252,-1.0577520933744784,0.34723548663299825
C06.552,-1.0424543411186578,0.35258824729730975
C12.777,-1.0104092048343714,0.3640699698941323
C13.703,-0.9981996117592317,0.368542363571128
C14.907,-0.8838171953785576,0.4132026223234863
C14,-0.8386764744815174,0.4322822816082425
C11.768,-0.8350104814435549,0.43386993382593664
C20.673,-0.7500903180920429,0.47232389142179976
C02,-0.6784456469403779,0.5074050663516689
D02.705,-0.6767866586992995,0.5082475440272634
C08.674,-0.668104081582391,0.5126796557550404
D10.251,-0.6663718642899147,0.5135684979318813
D08.811,-0.665009838764205,0.514268467915547
D02.540,-0.6519015256844991,0.5210540365166221
D02.145,-0.6386745926573036,0.5279917646468312
C08.127,-0.6348679375500621,0.5300054775178357
C03.752,-0.5920096334000796,0.5532144087194749
D06.472,-0.5847993529350445,0.5572176546832968
C13,-0.5600072887818947,0.5712049004457054
C01.539,-0.4960434127226418,0.6089352049639094
