request_id,effect_logit,effect_OR
NCT01650805,0.0,1.0
NCT00425737,0.0,1.0
NCT00519467,0.0,1.0
NCT01362257,0.0,1.0
NCT00337818,0.0,1.0
NCT01411111,0.0,1.0
NCT00308802,0.0,1.0
NCT00608283,0.0,1.0
NCT00283712,0.0,1.0
NCT03352557,0.0,1.0
NCT03730662,0.0,1.0
NCT04233918,0.0,1.0
NCT00650104,0.0,1.0
NCT00343915,0.0,1.0
NCT00731822,0.0,1.0
NCT00792909,0.0,1.0
NCT00722488,0.0,1.0
NCT01333813,0.0,1.0
NCT01179672,0.0,1.0
NCT00108914,0.0,1.0
NCT01685840,0.0,1.0
NCT02215408,0.0,1.0
NCT02365285,0.0,1.0
NCT02293863,0.0,1.0
NCT02058589,0.0,1.0
NCT00970580,0.0,1.0
NCT00670501,0.0,1.0
NCT01046331,0.0,1.0
NCT00485589,0.0,1.0
NCT00069836,0.0,1.0
