request_id,effect_logit,effect_OR
NCT03108625,0.0,1.0
NCT01153932,0.0,1.0
NCT00608283,0.0,1.0
NCT00792909,0.0,1.0
NCT00731822,0.0,1.0
NCT00650104,0.0,1.0
NCT00119834,0.0,1.0
NCT00343915,0.0,1.0
NCT00337818,0.0,1.0
NCT00406419,0.0,1.0
NCT04395001,0.0,1.0
NCT02968914,0.0,1.0
NCT04604184,0.0,1.0
NCT00069641,0.0,1.0
NCT04233918,0.0,1.0
NCT03730662,0.0,1.0
NCT00308802,0.0,1.0
NCT03352557,0.0,1.0
NCT03014479,0.0,1.0
NCT00681863,0.0,1.0
NCT00619489,0.0,1.0
NCT04664309,0.0,1.0
NCT00003299,0.0,1.0
NCT03292588,0.0,1.0
NCT02682381,0.0,1.0
NCT01778634,0.0,1.0
NCT03843125,0.0,1.0
NCT00108914,0.0,1.0
NCT01098526,0.0,1.0
NCT00979121,0.0,1.0
