request_id,effect_logit,effect_OR
NCT02968914,0.0,1.0
NCT00119834,0.0,1.0
NCT01967784,0.0,1.0
NCT01299610,0.0,1.0
NCT03730662,0.0,1.0
NCT00069836,0.0,1.0
NCT04233918,0.0,1.0
NCT04604184,0.0,1.0
NCT00792909,0.0,1.0
NCT00055523,0.0,1.0
NCT00343915,0.0,1.0
NCT00650104,0.0,1.0
NCT00731822,0.0,1.0
NCT00525512,0.0,1.0
NCT00108914,0.0,1.0
NCT01333813,0.0,1.0
NCT01967173,0.0,1.0
NCT02946931,0.0,1.0
NCT02215408,0.0,1.0
NCT03311724,0.0,1.0
NCT01606306,0.0,1.0
NCT02682381,0.0,1.0
NCT00643643,0.0,1.0
NCT03843125,0.0,1.0
NCT02025556,0.0,1.0
NCT02927457,0.0,1.0
NCT00705783,0.0,1.0
NCT00881530,0.0,1.0
NCT02293863,0.0,1.0
NCT01685840,0.0,1.0
