request_id,effect_logit,effect_OR
NCT02968914,0.0,1.0
NCT00119834,0.0,1.0
NCT01967784,0.0,1.0
NCT01299610,0.0,1.0
NCT03730662,0.0,1.0
NCT00069836,0.0,1.0
NCT04233918,0.0,1.0
NCT04604184,0.0,1.0
NCT00792909,0.0,1.0
NCT00055523,0.0,1.0
NCT00343915,0.0,1.0
NCT00650104,0.0,1.0
NCT00731822,0.0,1.0
NCT00525512,0.0,1.0
NCT00108914,0.0,1.0
NCT01333813,0.0,1.0
NCT01967173,0.0,1.0
NCT02946931,0.0,1.0
NCT02215408,0.0,1.0
NCT03311724,0.0,1.0
NCT01606306,0.0,1.0
NCT02682381,0.0,1.0
NCT00643643,0.0,1.0
NCT03843125,0.0,1.0
NCT02025556,0.0,1.0
NCT02927457,0.0,1.0
NCT00705783,0.0,1.0
NCT00881530,0.0,1.0
NCT02293863,0.0,1.0
NCT01685840,0.0,1.0
NCT01179672,0.0,1.0
NCT00485589,0.0,1.0
NCT00248651,0.0,1.0
NCT00406419,0.0,1.0
NCT00546078,0.0,1.0
NCT01502956,0.0,1.0
NCT00619489,0.0,1.0
NCT00681863,0.0,1.0
NCT01046331,0.0,1.0
NCT00174967,0.0,1.0
NCT00114881,0.0,1.0
NCT00271037,0.0,1.0
NCT00325156,0.0,1.0
NCT02365285,0.0,1.0
NCT04664309,0.0,1.0
NCT00363311,0.0,1.0
NCT01583036,0.0,1.0
NCT02411630,0.0,1.0
NCT00823836,0.0,1.0
NCT00911157,0.0,1.0
NCT00975884,0.0,1.0
NCT00971321,0.0,1.0
NCT00466804,0.0,1.0
NCT01383941,0.0,1.0
NCT01153763,0.0,1.0
NCT01112787,0.0,1.0
NCT02959190,0.0,1.0
NCT03334435,0.0,1.0
NCT02533453,0.0,1.0
NCT00097760,0.0,1.0
NCT01088529,0.0,1.0
NCT00021814,0.0,1.0
NCT01098526,0.0,1.0
NCT00924989,0.0,1.0
NCT01911845,0.0,1.0
NCT01974895,0.0,1.0
NCT01473589,0.0,1.0
NCT02284009,0.0,1.0
NCT00051298,0.0,1.0
NCT01217229,0.0,1.0
NCT02187705,0.0,1.0
NCT00234858,0.0,1.0
NCT02058589,0.0,1.0
NCT01193244,0.0,1.0
NCT04944771,0.0,1.0
NCT02986854,0.0,1.0
NCT00722488,0.0,1.0
NCT00970580,0.0,1.0
NCT00670501,0.0,1.0
NCT02743806,0.0,1.0
NCT03012061,0.0,1.0
NCT00358956,0.0,1.0
NCT02647281,0.0,1.0
NCT01181167,0.0,1.0
NCT01033071,0.0,1.0
NCT00836693,0.0,1.0
NCT00824291,0.0,1.0
NCT01842607,0.0,1.0
NCT00755508,0.0,1.0
NCT01153932,0.0,1.0
NCT00308802,0.0,1.0
NCT00337818,0.0,1.0
NCT01362257,0.0,1.0
NCT01411111,0.0,1.0
NCT00253136,0.0,1.0
NCT04395001,0.0,1.0
NCT00877877,0.0,1.0
NCT01134783,0.0,1.0
NCT00519467,0.0,1.0
NCT00979121,0.0,1.0
NCT02589639,0.0,1.0
NCT00765856,0.0,1.0
NCT00577460,0.0,1.0
NCT01212328,0.0,1.0
NCT01566721,0.0,1.0
NCT04327206,0.0,1.0
NCT00863304,0.0,1.0
NCT00313144,0.0,1.0
NCT02689531,0.0,1.0
NCT00530348,0.0,1.0
NCT03051217,0.0,1.0
NCT01092611,0.0,1.0
NCT00608491,0.0,1.0
NCT02175784,0.0,1.0
NCT01383928,0.0,1.0
NCT02193074,0.0,1.0
NCT00235872,0.0,1.0
NCT02149537,0.0,1.0
NCT04378777,0.0,1.0
NCT01007942,0.0,1.0
NCT03292588,0.0,1.0
NCT00003299,0.0,1.0
NCT01225081,0.0,1.0
NCT01302041,0.0,1.0
NCT01366560,0.0,1.0
NCT01778634,0.0,1.0
NCT02019472,0.0,1.0
NCT00964106,0.0,1.0
NCT01650805,0.0,1.0
NCT00425737,0.0,1.0
NCT00700427,0.0,1.0
NCT01106833,0.0,1.0
NCT00964795,0.0,1.0
NCT00857883,0.0,1.0
NCT00006164,0.0,1.0
NCT00608283,0.0,1.0
NCT00102063,0.0,1.0
NCT00283712,0.0,1.0
NCT03108625,0.0,1.0
NCT00069641,0.0,1.0
NCT01194570,0.0,1.0
NCT03014479,0.0,1.0
NCT00371735,0.0,1.0
NCT03352557,0.0,1.0
NCT01277042,0.0,1.0
NCT01098539,0.0,1.0
NCT00723450,0.0,1.0
NCT00142740,0.0,1.0
NCT03559257,0.0,1.0
NCT00385008,0.0,1.0
NCT00102440,0.0,1.0
NCT03085329,0.0,1.0
NCT02171702,0.0,1.0
NCT03663569,0.0,1.0
NCT00837785,0.0,1.0
NCT01261325,0.01327535169711149,1.0133638604061963
NCT00552240,0.017558541698350822,1.0177135990894026
NCT00404378,0.018103992992839425,1.018268863710581
NCT01950364,0.018103992992839425,1.018268863710581
NCT03313180,0.018103992992839425,1.018268863710581
NCT00115492,0.018103992992839425,1.018268863710581
NCT04341727,0.018103992992839425,1.018268863710581
NCT01018186,0.018103992992839425,1.018268863710581
NCT01469000,0.018103992992839425,1.018268863710581
NCT02317016,0.018103992992839425,1.018268863710581
NCT00975195,0.018103992992839425,1.018268863710581
NCT00054925,0.018103992992839425,1.018268863710581
NCT00005129,0.018103992992839425,1.018268863710581
NCT00765076,0.018103992992839425,1.018268863710581
NCT02831517,0.018103992992839425,1.018268863710581
NCT03564444,0.018103992992839425,1.018268863710581
NCT01412333,0.018103992992839425,1.018268863710581
NCT00044577,0.018103992992839425,1.018268863710581
NCT01051531,0.018411197363749666,1.0185817284105159
NCT00996593,0.018411197363749666,1.0185817284105159
NCT01267071,0.018411197363749666,1.0185817284105159
NCT00853385,0.018411197363749666,1.0185817284105159
NCT00918255,0.018411197363749666,1.0185817284105159
NCT01772160,0.018411197363749666,1.0185817284105159
NCT01626820,0.018411197363749666,1.0185817284105159
NCT01622231,0.018411197363749666,1.0185817284105159
NCT00361335,0.018411197363749666,1.0185817284105159
NCT01662310,0.018411197363749666,1.0185817284105159
NCT02139943,0.018411197363749666,1.0185817284105159
NCT01641133,0.02163307256158374,1.0218687639840263
NCT00811356,0.02163307256158374,1.0218687639840263
NCT00849875,0.02163307256158374,1.0218687639840263
NCT00297258,0.02163307256158374,1.0218687639840263
NCT01685138,0.02163307256158374,1.0218687639840263
NCT00558025,0.02163307256158374,1.0218687639840263
NCT02236611,0.02163307256158374,1.0218687639840263
NCT00459550,0.02163307256158374,1.0218687639840263
NCT01334918,0.02163307256158374,1.0218687639840263
NCT01476202,0.02163307256158374,1.0218687639840263
NCT00259870,0.02163307256158374,1.0218687639840263
NCT00756067,0.02163307256158374,1.0218687639840263
NCT01712516,0.02163307256158374,1.0218687639840263
NCT01039961,0.02163307256158374,1.0218687639840263
NCT00527033,0.02163307256158374,1.0218687639840263
NCT01428479,0.02163307256158374,1.0218687639840263
NCT01453023,0.02163307256158374,1.0218687639840263
NCT00404183,0.02163307256158374,1.0218687639840263
NCT01245049,0.02163307256158374,1.0218687639840263
NCT02354950,0.02328963151345327,1.0235629527069565
NCT02060344,0.02328963151345327,1.0235629527069565
NCT00734071,0.02328963151345327,1.0235629527069565
NCT02951819,0.025191063419047494,1.0255110394528315
NCT00005485,0.025191063419047494,1.0255110394528315
NCT00787202,0.025191063419047494,1.0255110394528315
NCT00233324,0.025191063419047494,1.0255110394528315
NCT00191061,0.025191063419047494,1.0255110394528315
NCT01262911,0.025191063419047494,1.0255110394528315
NCT01772199,0.025191063419047494,1.0255110394528315
NCT01169402,0.025191063419047494,1.0255110394528315
NCT01868035,0.025191063419047494,1.0255110394528315
NCT00236730,0.025191063419047494,1.0255110394528315
NCT00034749,0.025191063419047494,1.0255110394528315
NCT00231621,0.025191063419047494,1.0255110394528315
NCT02472145,0.025191063419047494,1.0255110394528315
NCT02113436,0.025191063419047494,1.0255110394528315
NCT00394706,0.025191063419047494,1.0255110394528315
NCT00236418,0.02533211240203497,1.0256556969436448
NCT02411162,0.02667651558165622,1.0270355190345892
NCT00488319,0.027077541243167694,1.0274474692287845
NCT02651194,0.029383632908677196,1.029819591388636
NCT02975700,0.029383632908677196,1.029819591388636
NCT01263509,0.029383632908677196,1.029819591388636
NCT01627782,0.029383632908677196,1.029819591388636
NCT01096862,0.030856198531080972,1.0313371854203575
NCT01466673,0.030856198531080972,1.0313371854203575
NCT01000974,0.03255670518137359,1.0330924731791284
NCT00984659,0.03351464010039409,1.0340825826882867
NCT01959347,0.03351464010039409,1.0340825826882867
NCT01777269,0.03357353771248134,1.0341434894767225
NCT02826603,0.03454294545056343,1.0351464822536411
NCT00050947,0.03454294545056343,1.0351464822536411
NCT02065349,0.03454294545056343,1.0351464822536411
