tree_head,effect_logit,effect_OR
C20.543,-1.8460159201920443,0.157864861296173
D03.605,-1.7614024977738258,0.17180374041158858
C02.782,-1.6421358884074657,0.1935661647227761
C23.550,-1.520697344723261,0.21855942253823996
C02.256,-1.5060099184259799,0.2217931876595466
C01.252,-1.2797272128504582,0.2781131558015628
C03.752,-1.1855906357718315,0.3055656481873724
C14.907,-1.1615998060503179,0.3129850647449316
C02.800,-1.1415807820571602,0.31931385702799
C06.552,-1.1147231943582778,0.3280060602626119
C13.703,-1.0844862214573792,0.3380754371871531
C01.539,-0.9846945397300847,0.37355331520754786
C08.674,-0.9832064013072742,0.3741096280814924
C02,-0.9551898304335172,0.38473910242978365
D02.145,-0.939620203894787,0.39077622246561705
D02.886,-0.8798452475379377,0.41484710532531954
D13.570,-0.8288535342996838,0.43654948854951126
C13.351,-0.8273189193843693,0.4372199382153627
D20.215,-0.8249401279844049,0.4382612312627295
D02.705,-0.7403759759014694,0.4769345659042224
D02.540,-0.6828328104159068,0.5051838733084133
C10.886,-0.6708983548981492,0.5112490883024796
D12.125,-0.6585794772449601,0.5175860552935777
F03.870,-0.6541094151874595,0.5199048758556273
C08,-0.6290257520525078,0.5331109303151496
C20.673,-0.5775336254263168,0.5612809899933042
C08.460,-0.576284720707269,0.5619824143853641
C09.603,-0.576284720707269,0.5619824143853641
C18.452,-0.5744759856182122,0.5629998115212755
E01.370,-0.5736642810834188,0.5634569865417925
D02.033,-0.553871611528997,0.5747204033267753
C14,-0.5494180017295456,0.5772856919040191
C13,-0.5059326522330612,0.6029429769995744
C11.768,-0.4886884070114977,0.6134304378413464
C10.114,-0.4762414061250881,0.6211135235387573
D08.811,-0.4739558787078526,0.6225347189979639
C03,-0.4525608829842807,0.6359973495758415
C06,-0.4483755463724153,0.6386647907438554
C10.314,-0.4453225567893034,0.6406176071443525
C02.928,-0.43840661777985984,0.645063435261396
C02.440,-0.4208582256731048,0.6564831672709982
C01,-0.41784596589917006,0.6584636464694211
D12.644,-0.4111690344413398,0.6628748734462393
C08.127,-0.4094350849832819,0.6640252620434259
C19.246,-0.34311932161521835,0.7095535414341732
C15.378,-0.331517303125923,0.7178337353417613
F03.080,-0.3197399139440467,0.7263379228749944
D26.776,-0.30769074238217575,0.7351426313169931
C07.465,-0.30185416510568086,0.7394458940405264
C18,-0.3006382436656348,0.7403455490008795
C23.888,-0.30062906391720695,0.7403523452179627
C08.618,-0.29334206041525995,0.7457669996932881
D01.210,-0.2920169649184851,0.7467558672134796
D03.132,-0.2911757026546426,0.7473843490668368
C12.777,-0.27746958430078206,0.7576986101855241
C01.395,-0.26417853832377547,0.7678364391874402
D20,-0.26312643092018173,0.7686447107095262
C15,-0.2536970988770193,0.7759267955525045
E05.200,-0.25134116100287457,0.7777569859386037
C07.793,-0.246186384461594,0.781776500353396
D02.626,-0.24049518134709383,0.7862384340491039
C20,-0.2342974607335274,0.7911264518368603
