tree_head,effect_logit,effect_OR
D09.408,0.5428252285518748,1.7208618287328434
D02.065,0.5686569526080296,1.765893779047382
D02.455,0.5805439386075028,1.7870101902718432
C05,0.6060994252407622,1.8332666409422385
C10.574,0.64284090945666,1.9018762700488925
D03.633,0.6430158222810644,1.902208961694124
C05.651,0.6848332157007543,1.9834410011314656
F01.145,0.7373530628111108,2.0903950407134237
D03,0.7576176122788316,2.1331880808519403
C10.228,0.7968627631377311,2.2185698201797157
D26.894,0.8060036313551711,2.238942444420393
D04.210,0.864567922777852,2.373980121608777
C04.557,1.108208832568156,3.0289282151349712
C05.116,1.1694112699448143,3.2200963128913322
C16.320,1.2003098267741905,3.3211457432224907
C20.683,1.2082706025838081,3.3476901567928494
F03.615,1.2374119783871862,3.446681825053877
C17.300,1.275538224701075,3.5806280740408183
F03.600,1.3266449411508303,3.7683790212190353
F03.625,1.3328120114757296,3.7916906881144703
C10.597,1.4867220111667123,4.422574582177065
C06.405,1.5136585996026595,4.543322622720801
C12.758,1.6417096949433805,5.163990818204359
C04.588,1.7244311921857174,5.609329491645582
F03,1.7534200075576594,5.774317153263824
D12.776,1.8137254797818985,6.133254237365104
C05.550,2.1641142461530403,8.706886342233062
D03.383,2.2742551023530964,9.720675406785547
F03.700,2.5976840218022024,13.4325923914889
D09.947,2.648994285462485,14.139810878680734
