tree_head,effect_logit,effect_OR
C20.543,-1.8460159201920443,0.157864861296173
D03.605,-1.7614024977738258,0.17180374041158858
C02.782,-1.6421358884074657,0.1935661647227761
C23.550,-1.520697344723261,0.21855942253823996
C02.256,-1.5060099184259799,0.2217931876595466
C01.252,-1.2797272128504582,0.2781131558015628
C03.752,-1.1855906357718315,0.3055656481873724
C14.907,-1.1615998060503179,0.3129850647449316
C02.800,-1.1415807820571602,0.31931385702799
C06.552,-1.1147231943582778,0.3280060602626119
C13.703,-1.0844862214573792,0.3380754371871531
C01.539,-0.9846945397300847,0.37355331520754786
C08.674,-0.9832064013072742,0.3741096280814924
C02,-0.9551898304335172,0.38473910242978365
D02.145,-0.939620203894787,0.39077622246561705
D02.886,-0.8798452475379377,0.41484710532531954
D13.570,-0.8288535342996838,0.43654948854951126
C13.351,-0.8273189193843693,0.4372199382153627
D20.215,-0.8249401279844049,0.4382612312627295
D02.705,-0.7403759759014694,0.4769345659042224
D02.540,-0.6828328104159068,0.5051838733084133
C10.886,-0.6708983548981492,0.5112490883024796
D12.125,-0.6585794772449601,0.5175860552935777
F03.870,-0.6541094151874595,0.5199048758556273
C08,-0.6290257520525078,0.5331109303151496
C20.673,-0.5775336254263168,0.5612809899933042
C08.460,-0.576284720707269,0.5619824143853641
C09.603,-0.576284720707269,0.5619824143853641
C18.452,-0.5744759856182122,0.5629998115212755
E01.370,-0.5736642810834188,0.5634569865417925
