request_id,effect_logit,effect_OR
NCT00216619,0.0,1.0
NCT00224471,0.0,1.0
NCT00322335,0.0,1.0
NCT00306241,0.0,1.0
NCT00004562,0.0,1.0
NCT00004392,0.0,1.0
NCT00004578,0.0,1.0
NCT00004984,0.0,1.0
NCT00034866,0.0,1.0
NCT00005130,0.0,1.0
NCT00005485,0.0,1.0
NCT00256854,0.0,1.0
NCT00035802,0.0,1.0
NCT00035230,0.0,1.0
NCT00299104,0.0,1.0
NCT00300378,0.0,1.0
NCT00195689,0.0,1.0
NCT00301249,0.0,1.0
NCT00046254,0.0,1.0
NCT00263588,0.0,1.0
NCT00262522,0.0,1.0
NCT00261573,0.0,1.0
NCT00256867,0.0,1.0
NCT00191646,0.0,1.0
NCT00316017,0.0,1.0
NCT00263666,0.0,1.0
NCT00297232,0.0,1.0
NCT00296530,0.0,1.0
NCT00253136,0.0,1.0
NCT00253123,0.0,1.0
NCT00196989,0.0,1.0
NCT00196924,0.0,1.0
NCT00054886,0.0,1.0
NCT00053638,0.0,1.0
NCT00190593,0.0,1.0
NCT00264758,0.0,1.0
NCT00267748,0.0,1.0
NCT00268177,0.0,1.0
NCT00051298,0.0,1.0
NCT00051350,0.0,1.0
NCT00079274,0.0,1.0
NCT00160550,0.0,1.0
NCT00233324,0.0,1.0
NCT00083668,0.0,1.0
NCT00075257,0.0,1.0
NCT00077584,0.0,1.0
NCT00157079,0.0,1.0
NCT00171158,0.0,1.0
NCT00289770,0.0,1.0
NCT00289796,0.0,1.0
NCT00067613,0.0,1.0
NCT00069836,0.0,1.0
NCT00200967,0.0,1.0
NCT00174642,0.0,1.0
NCT00168805,0.0,1.0
NCT00170950,0.0,1.0
NCT00197041,0.0,1.0
NCT00064753,0.0,1.0
NCT00307554,0.0,1.0
NCT00307541,0.0,1.0
NCT00063622,0.0,1.0
NCT00190957,0.0,1.0
NCT00190840,0.0,1.0
NCT00190814,0.0,1.0
NCT00157248,0.0,1.0
NCT00074438,0.0,1.0
NCT00197132,0.0,1.0
NCT00197119,0.0,1.0
NCT00073437,0.0,1.0
NCT00282347,0.0,1.0
NCT00225823,0.0,1.0
NCT00224874,0.0,1.0
NCT00102713,0.0,1.0
NCT00286455,0.0,1.0
NCT00286091,0.0,1.0
NCT00120289,0.0,1.0
NCT00119743,0.0,1.0
NCT00207727,0.0,1.0
NCT00207675,0.0,1.0
NCT00202982,0.0,1.0
NCT00321854,0.0,1.0
NCT00236873,0.0,1.0
NCT00237289,0.0,1.0
NCT00237302,0.0,1.0
NCT00239369,0.0,1.0
NCT00236847,0.0,1.0
NCT00319111,0.0,1.0
NCT00034775,0.0,1.0
NCT00006164,0.0,1.0
NCT00281580,0.0,1.0
NCT00321984,0.0,1.0
NCT00027300,0.0,1.0
NCT00106535,0.0,1.0
NCT00274599,0.0,1.0
NCT00312208,0.0,1.0
NCT00228917,0.0,1.0
NCT00006400,0.0,1.0
NCT00006305,0.0,1.0
NCT00320463,0.0,1.0
NCT00131352,0.0,1.0
NCT00236639,0.0,1.0
NCT00270283,0.0,1.0
NCT00233025,0.0,1.0
NCT00212810,0.0,1.0
NCT00094367,0.0,1.0
NCT00274066,0.0,1.0
NCT00274053,0.0,1.0
NCT00274014,0.0,1.0
NCT00140738,0.0,1.0
NCT00236470,0.0,1.0
NCT00091715,0.0,1.0
NCT00240448,0.0,1.0
NCT00269997,0.0,1.0
NCT00289198,0.0,1.0
NCT00306943,0.0,1.0
NCT00289731,0.0,1.0
NCT00242775,0.0,1.0
NCT00244387,0.0,1.0
NCT00246220,0.0,1.0
NCT00246246,0.0,1.0
NCT00248092,0.0,1.0
NCT00210821,0.0,1.0
NCT00210860,0.0,1.0
NCT00242385,0.0,1.0
NCT00086658,0.0,1.0
NCT00089583,0.0,1.0
NCT00089648,0.0,1.0
NCT00086320,0.0,1.0
NCT00274560,0.0,1.0
NCT00274573,0.0,1.0
NCT00274547,0.0,1.0
NCT00240630,0.0,1.0
NCT00132743,0.004847961832370029,1.0048597322124317
NCT00088465,0.0051325249848850575,1.00514571895438
NCT00148928,0.0051325249848850575,1.00514571895438
NCT00234845,0.0051325249848850575,1.00514571895438
NCT00236509,0.0051325249848850575,1.00514571895438
NCT00094172,0.0051325249848850575,1.00514571895438
NCT00075231,0.0051325249848850575,1.00514571895438
NCT00089674,0.0051325249848850575,1.00514571895438
NCT00098306,0.0051325249848850575,1.00514571895438
NCT00100776,0.0051325249848850575,1.00514571895438
NCT00240526,0.0051325249848850575,1.00514571895438
NCT00091975,0.0051325249848850575,1.00514571895438
NCT00054925,0.0051325249848850575,1.00514571895438
NCT00077714,0.0051325249848850575,1.00514571895438
NCT00160524,0.0051325249848850575,1.00514571895438
NCT00077779,0.0051325249848850575,1.00514571895438
NCT00168857,0.007439417109390809,1.007467158323005
NCT00190775,0.007439417109390809,1.007467158323005
NCT00107562,0.007439417109390809,1.007467158323005
NCT00069641,0.007637852711555361,1.0076670955119
NCT00064662,0.007637852711555361,1.0076670955119
NCT00076999,0.007637852711555361,1.0076670955119
NCT00063206,0.007637852711555361,1.0076670955119
NCT00100659,0.007637852711555361,1.0076670955119
NCT00144846,0.007637852711555361,1.0076670955119
NCT00113165,0.007637852711555361,1.0076670955119
NCT00051623,0.007637852711555361,1.0076670955119
NCT00052910,0.007637852711555361,1.0076670955119
NCT00063635,0.007637852711555361,1.0076670955119
NCT00063154,0.007637852711555361,1.0076670955119
NCT00054717,0.007637852711555361,1.0076670955119
NCT00051558,0.007637852711555361,1.0076670955119
NCT00038961,0.007637852711555361,1.0076670955119
NCT00050778,0.007637852711555361,1.0076670955119
NCT00060944,0.007637852711555361,1.0076670955119
NCT00055536,0.007637852711555361,1.0076670955119
NCT00042575,0.007637852711555361,1.0076670955119
NCT00190736,0.009161344363563043,1.0092034379251782
NCT00085748,0.009161344363563043,1.0092034379251782
NCT00174941,0.009161344363563043,1.0092034379251782
NCT00152022,0.009161344363563043,1.0092034379251782
NCT00175877,0.009161344363563043,1.0092034379251782
NCT00129116,0.009161344363563043,1.0092034379251782
NCT00102440,0.009161344363563043,1.0092034379251782
NCT00144339,0.009161344363563043,1.0092034379251782
NCT00133848,0.009161344363563043,1.0092034379251782
NCT00094432,0.009161344363563043,1.0092034379251782
NCT00094458,0.009161344363563043,1.0092034379251782
NCT00086593,0.009161344363563043,1.0092034379251782
NCT00078039,0.009161344363563043,1.0092034379251782
NCT00153049,0.009161344363563043,1.0092034379251782
NCT00152984,0.009161344363563043,1.0092034379251782
NCT00060905,0.009281072339500629,1.0093242750437577
NCT00106548,0.009281072339500629,1.0093242750437577
NCT00235820,0.009281072339500629,1.0093242750437577
NCT00065845,0.009281072339500629,1.0093242750437577
NCT00091481,0.009281072339500629,1.0093242750437577
NCT00231556,0.010400017505753655,1.0104542856545538
NCT00057330,0.01204862652708239,1.0121215036232032
NCT00039988,0.012072445194138694,1.0121456112954237
NCT00037674,0.012072445194138694,1.0121456112954237
NCT00073411,0.012072445194138694,1.0121456112954237
NCT00081796,0.012072445194138694,1.0121456112954237
NCT00088491,0.012382931322835819,1.0124599172592488
NCT00134719,0.012571942094275883,1.0126513011755032
NCT00309647,0.012571942094275883,1.0126513011755032
NCT00141258,0.01296422044505283,1.0130486202825872
NCT00109408,0.013255305205668613,1.013343546219855
NCT00136604,0.013255305205668613,1.013343546219855
NCT00101829,0.013255305205668613,1.013343546219855
NCT00150592,0.013255305205668613,1.013343546219855
NCT00144196,0.013255305205668613,1.013343546219855
NCT00103896,0.013255305205668613,1.013343546219855
NCT00091910,0.013255305205668613,1.013343546219855
NCT00134563,0.013255305205668613,1.013343546219855
NCT00137930,0.013255305205668613,1.013343546219855
NCT00169494,0.013255305205668613,1.013343546219855
NCT00151944,0.013255305205668613,1.013343546219855
NCT00105300,0.014129034171870634,1.014229320735977
NCT00076219,0.014133922300692058,1.0142342784316682
NCT00047788,0.014341752897751215,1.014445089253023
NCT00101634,0.014413597324385687,1.0145179740969663
NCT00152997,0.01559597836870551,1.015718230358954
NCT00104013,0.016309526756992983,1.0164432531038243
NCT00144300,0.016799197075118392,1.0169410970746882
NCT00097292,0.016799197075118392,1.0169410970746882
NCT00102063,0.016799197075118392,1.0169410970746882
NCT00319020,0.017084958976824622,1.017231741622103
NCT00308438,0.017084958976824622,1.017231741622103
NCT00266617,0.017084958976824622,1.017231741622103
NCT00251004,0.017084958976824622,1.017231741622103
NCT00308139,0.017084958976824622,1.017231741622103
NCT00234897,0.017084958976824622,1.017231741622103
NCT00269048,0.017084958976824622,1.017231741622103
NCT00088075,0.017204970179023744,1.0173538281520593
NCT00114530,0.01795180167986458,1.0181139038273248
NCT00133198,0.01795180167986458,1.0181139038273248
NCT00109421,0.01795180167986458,1.0181139038273248
NCT00103649,0.01795180167986458,1.0181139038273248
NCT00104299,0.01795180167986458,1.0181139038273248
NCT00071253,0.019023308254488305,1.0192054042394938
NCT00078260,0.019023308254488305,1.0192054042394938
NCT00062790,0.019023308254488305,1.0192054042394938
NCT00061594,0.01968108984525433,1.0198760393331405
NCT00067119,0.01968108984525433,1.0198760393331405
NCT00090584,0.020602073156608162,1.0208157608124924
NCT00168844,0.020728503353590583,1.0209448309092215
NCT00158860,0.020728503353590583,1.0209448309092215
NCT00168818,0.020728503353590583,1.0209448309092215
NCT00153101,0.021568451281261485,1.0218027316497464
NCT00112918,0.021568451281261485,1.0218027316497464
NCT00153088,0.021568451281261485,1.0218027316497464
NCT00190827,0.02212556480861588,1.0223721503745455
NCT00096655,0.02372863177631666,1.0240123957578429
NCT00122863,0.02372863177631666,1.0240123957578429
NCT00148941,0.02372863177631666,1.0240123957578429
NCT00100620,0.02372863177631666,1.0240123957578429
NCT00055523,0.024829922540569295,1.0251407523620815
NCT00094081,0.025298939426171327,1.025621673456299
NCT00190567,0.025589654391419896,1.025919880369962
NCT00225797,0.026385408498055478,1.0267365852328734
NCT00235859,0.026385408498055478,1.0267365852328734
NCT00216593,0.026385408498055478,1.0267365852328734
NCT00135486,0.02830993026283811,1.0287144647634852
NCT00061802,0.02830993026283811,1.0287144647634852
NCT00056225,0.02830993026283811,1.0287144647634852
NCT00150618,0.02883083847288353,1.0292504701666603
NCT00110461,0.029763417520171233,1.0302107753001737
NCT00097786,0.030108340656222157,1.0305661801217327
NCT00255567,0.030724318175511495,1.0312011812739668
NCT00050934,0.03074371103700844,1.0312211794095607
NCT00161993,0.030916022124917418,1.03139888556279
NCT00115765,0.0322786134601569,1.0328052186584893
NCT00122681,0.03475099875498303,1.0353618703051533
NCT00122837,0.03475099875498303,1.0353618703051533
NCT00210535,0.035104045423538635,1.0357274658965694
NCT00250354,0.035104045423538635,1.0357274658965694
NCT00286442,0.035104045423538635,1.0357274658965694
NCT00241449,0.035104045423538635,1.0357274658965694
NCT00057018,0.035747484064459434,1.0363941074180476
NCT00150579,0.035801399575234566,1.0364499866420784
NCT00108914,0.036055951834868594,1.036713850910374
NCT00102765,0.036746272063840506,1.0374297625290188
NCT00236353,0.03748289287876027,1.038194236415236
NCT00256893,0.037533639270704695,1.038246922363671
NCT00055497,0.038017032838612096,1.0387489255706266
NCT00056407,0.038145876006835895,1.0388827698954646
NCT00135668,0.038291769832073774,1.0390343475335901
NCT00114413,0.038659704741194546,1.0394167148806572
NCT00036491,0.0393187567735388,1.040101970363758
NCT00119756,0.03934343820433002,1.040127641885359
NCT00117325,0.04090391366723871,1.0417520026067173
NCT00125918,0.04090391366723871,1.0417520026067173
NCT00147602,0.04090391366723871,1.0417520026067173
NCT00106964,0.04090391366723871,1.0417520026067173
NCT00000935,0.04090391366723871,1.0417520026067173
NCT00140075,0.04256822286321374,1.0434872436328388
NCT00140673,0.04256822286321374,1.0434872436328388
NCT00144326,0.04256822286321374,1.0434872436328388
NCT00098722,0.04334675327463429,1.044299946501837
NCT00171340,0.043700874932774164,1.044669821216946
NCT00021814,0.046421631677496834,1.0475159837812966
NCT00150735,0.0468668112272789,1.0479824202916403
NCT00077974,0.047349513408098565,1.0484884058017059
NCT00043953,0.047349513408098565,1.0484884058017059
NCT00087711,0.04819471510700435,1.0493749645912926
NCT00109486,0.04830344608982596,1.0494890703658453
NCT00309686,0.04937187873348616,1.050610977982423
NCT00160641,0.049856246347485776,1.0511199831779348
NCT00105989,0.05002724792778741,1.0512997417252046
NCT00152035,0.05140118121250454,1.0527451501525755
NCT00106834,0.051814209351979015,1.0531800533307265
NCT00071461,0.051814209351979015,1.0531800533307265
NCT00017953,0.05229276945677294,1.0536841839061846
NCT00274677,0.05229276945677294,1.0536841839061846
NCT00312728,0.05279041696162581,1.0542086777068997
NCT00268996,0.05279041696162581,1.0542086777068997
NCT00307567,0.05279041696162581,1.0542086777068997
NCT00116818,0.05461046790336919,1.0561291383415066
NCT00273052,0.055770967349299594,1.0573554870722612
NCT00240539,0.055770967349299594,1.0573554870722612
NCT00320489,0.05593745662376621,1.0575315400752188
NCT00072839,0.055988907205048837,1.0575859520874333
NCT00108082,0.0567844551884592,1.0584276472189396
NCT00197210,0.05685793064795538,1.058505418533769
NCT00253162,0.05685793064795538,1.058505418533769
NCT00286494,0.05685793064795538,1.058505418533769
NCT00069121,0.05710650567136278,1.0587685692479505
NCT00104416,0.05953003135155127,1.0613376339045388
NCT00103662,0.06013646658948815,1.0619814616452703
NCT00071760,0.06365183891608411,1.0657212914827028
NCT00118716,0.06386548325560489,1.065949001127707
NCT00152386,0.0641552638400343,1.0662579372119034
NCT00239408,0.06444770291196984,1.0665697982914655
NCT00240942,0.06482165676733606,1.0669687207642033
NCT00273286,0.06482165676733606,1.0669687207642033
NCT00078195,0.06519633638968239,1.0673685671040147
NCT00102466,0.06519633638968239,1.0673685671040147
NCT00079001,0.06519988547644961,1.0673723552943941
