request_id,effect_logit,effect_OR
NCT00216619,0.0,1.0
NCT00224471,0.0,1.0
NCT00322335,0.0,1.0
NCT00306241,0.0,1.0
NCT00004562,0.0,1.0
NCT00004392,0.0,1.0
NCT00004578,0.0,1.0
NCT00004984,0.0,1.0
NCT00034866,0.0,1.0
NCT00005130,0.0,1.0
NCT00005485,0.0,1.0
NCT00256854,0.0,1.0
NCT00035802,0.0,1.0
NCT00035230,0.0,1.0
NCT00299104,0.0,1.0
NCT00300378,0.0,1.0
NCT00195689,0.0,1.0
NCT00301249,0.0,1.0
NCT00046254,0.0,1.0
NCT00263588,0.0,1.0
NCT00262522,0.0,1.0
NCT00261573,0.0,1.0
NCT00256867,0.0,1.0
NCT00191646,0.0,1.0
NCT00316017,0.0,1.0
NCT00263666,0.0,1.0
NCT00297232,0.0,1.0
NCT00296530,0.0,1.0
NCT00253136,0.0,1.0
NCT00253123,0.0,1.0
