tree_head,effect_logit
C17.800,0.6325458420643982
C17,0.6247277781913507
C17.300,1.3937915682471642
C20.111,0.17566159446709328
C20,-0.3319253208134559
C14.907,-0.9411454097526408
C14,-0.7985588849488567
C23.888,-0.6209347271414936
C23,-0.22263101502256488
C08.127,-0.7639595226952531
C08.381,1.0334281194405863
C08.730,-0.37361902244464806
C08,-0.1503914428300058
C20.452,-0.1060475065471548
C23.550,-1.4746347464231826
C01.539,-1.2898966420835987
C08.460,-0.6026920561050768
C09.603,-0.6026920561050768
C08.674,-0.8226912050443734
C20.543,-2.144569646885706
C09,-0.23244790742111585
C08.618,-0.6842770309271259
C14.280,-0.765552876749421
F02.830,-0.20935276795826635
G11.561,-0.18472889157554356
C10.597,2.59944577403296
G04.146,0.007719536893237194
F03,1.700511285280735
F03.600,2.534590526990412
C10.228,1.0610263506783035
