tree_head,effect_logit
G01.280,-0.009643185267629738
G02.263,-0.009643185267629738
G02,-0.004821592633814869
D01.200,-0.09162956270853692
D01.510,-0.03522337116685015
E07.206,-0.007177464945267833
E02.860,0.021832651659376336
G09.330,0.0
E02.900,0.0
I03.050,0.0
E07.505,0.0
E07.858,0.0
E02.912,-0.015647300699627126
E02.120,-0.015647300699627126
F02.463,-0.011179565998039947
E05.393,-0.08863731994324342
E07.877,-0.2575346757250984
E05.980,-0.009633084748481954
D04.075,-0.009098769881865303
G05,0.026993812234632257
G05.380,0.026993812234632257
E02.585,-0.07101699176807429
E05.497,-0.07101699176807429
E05.245,0.0
L01.313,0.0
E04.515,0.0
F04.711,-0.02443140283643307
N05.700,-0.04862312040978293
F01.058,-0.018304757896927846
J01.516,0.0
